"","Estimate","Std. Error","z value","Pr(>|z|)","feature","variable","n"
"21",-0.144320874009975,0.0117699643342662,-12.2617936564013,1.45248778581363e-34,"policy_pos.abs:replies_rh","lexdiv","10"
"22",-0.23787111304868,0.0117024175981302,-20.3266642173739,7.47122330460612e-92,"policy_pos.abs:replies_rt","lexdiv","10"
"23",-0.155360759070843,0.00957998479597159,-16.2172239705613,3.81031465106808e-59,"policy_pos.abs:pinned","lexdiv","10"
"24",-0.142349925740753,0.0117643126758246,-12.1001481058285,1.05420806635172e-33,"policy_pos.rel:replies_rh","lexdiv","10"
"25",-0.229853324033795,0.0116991504688256,-19.6470098103514,6.13205649747866e-86,"policy_pos.rel:replies_rt","lexdiv","10"
"26",-0.150006328316476,0.00957681879540261,-15.6634819475217,2.68770645639782e-55,"policy_pos.rel:pinned","lexdiv","10"
"27",0.000873371820563995,0.0116883994877845,0.0747212500288645,0.940436499857863,"policy_rev.chron:replies_rh","lexdiv","10"
"28",0.0754212126802136,0.0116593935609293,6.46870802379896,9.88443743828923e-11,"policy_rev.chron:replies_rt","lexdiv","10"
"29",-0.0469577283011382,0.00953893562958749,-4.92274296887869,8.53395087093419e-07,"policy_rev.chron:pinned","lexdiv","10"
"30",-0.0899815605278311,0.0116740859507403,-7.7078034980653,1.28001632331405e-14,"policy_chron:replies_rh","lexdiv","10"
"31",-0.0547763148967514,0.0116620565905306,-4.69696870972388,2.64050883096054e-06,"policy_chron:replies_rt","lexdiv","10"
"32",0.0749069795246638,0.00953143440605975,7.85894088271127,3.8739500438592e-15,"policy_chron:pinned","lexdiv","10"
"33",-0.170595460147211,0.0119028684644545,-14.3322981898574,1.37494164789913e-46,"policy_pin.pred.lr:replies_rh","lexdiv","10"
"34",-0.334688594096874,0.0117866473849743,-28.3955719693064,2.2934259801898e-177,"policy_pin.pred.lr:replies_rt","lexdiv","10"
"35",-0.199970178850751,0.00965817347703521,-20.704761550021,3.13783824586955e-95,"policy_pin.pred.lr:pinned","lexdiv","10"
"36",-0.17789374362572,0.0119270568939224,-14.9151416990698,2.6271896395935e-50,"policy_pin.pred.xgb:replies_rh","lexdiv","10"
"37",-0.352060141521655,0.0118029636411844,-29.8281137030026,1.68800282044077e-195,"policy_pin.pred.xgb:replies_rt","lexdiv","10"
"38",-0.201900509269789,0.00967230264884535,-20.8740893042559,9.2107372166773e-97,"policy_pin.pred.xgb:pinned","lexdiv","10"
"39",-0.171330407243864,0.0121369077332132,-14.1164793380616,3.00640128816653e-45,"policy_pred.nb:replies_rh","lexdiv","10"
"40",-0.482772695376528,0.0119229581725085,-40.4910164400044,0,"policy_pred.nb:replies_rt","lexdiv","10"
"41",-0.231484826090283,0.00978905990899034,-23.647298948256,1.25831314727722e-123,"policy_pred.nb:pinned","lexdiv","10"
"42",-0.173385287236653,0.0118883247615964,-14.5845012408098,3.52488640687477e-48,"policy_pred.xgb:replies_rh","lexdiv","10"
"43",-0.365108059646441,0.0117731863981149,-31.0118303830561,3.73387122962324e-211,"policy_pred.xgb:replies_rt","lexdiv","10"
"44",-0.17531075403372,0.00964658946433377,-18.1733403999304,8.39296569054847e-74,"policy_pred.xgb:pinned","lexdiv","10"
"45",-0.160353886980195,0.00956957882656038,-16.7566295117536,5.06537896436741e-63,"(Intercept)","sentcomp","10"
"46",-0.182733205409671,0.0135859552291373,-13.4501551291565,3.07227089511883e-41,"policy_neg.abs","sentcomp","10"
"47",0.0398695721705133,0.0135266868927228,2.94747505333053,0.00320380601489796,"policy_least.neg.abs","sentcomp","10"
"48",-0.0813539569825676,0.0135508808962227,-6.00359176688249,1.92999601461363e-09,"policy_pos.abs","sentcomp","10"
"49",-0.0694164138869643,0.0135474890364074,-5.12393209549129,2.99228784463494e-07,"policy_pos.rel","sentcomp","10"
"50",-0.0391907248177172,0.0135403936070463,-2.89435639428699,0.00379936655402962,"policy_rev.chron","sentcomp","10"
"51",0.0443120400388861,0.0135254137264579,3.27620588434974,0.00105211832752636,"policy_chron","sentcomp","10"
"52",-0.0444412627746302,0.0135420501697827,-3.28172338881117,0.00103174763107901,"policy_pin.pred.lr","sentcomp","10"
"53",-0.0496641810215323,0.0135439075059994,-3.66690196308069,0.000245506865476476,"policy_pin.pred.xgb","sentcomp","10"
"54",-0.250108530848086,0.0136201582486981,-18.3631148978752,2.59298137961195e-75,"policy_pred.nb","sentcomp","10"
"55",-0.190256041278348,0.0135926335614256,-13.9969962714418,1.62599021355682e-44,"policy_pred.xgb","sentcomp","10"
"56",-0.0101254975649057,0.0117225006979066,-0.863766002309895,0.387716447628383,"replies_rh","sentcomp","10"
